model_type,anchor_id,alpha_s,alpha_a,t_start,n_rollouts,success_rate
baseline,none,0.0,0.0,N/A,30,1.0
action_denoiser_A7,A7,0.0,0.0,5,30,1.0
action_denoiser_A7,A7,0.0,0.0,10,30,0.9333333333333333
joint_denoiser_A7,A7,0.0,0.0,5,30,0.9
joint_denoiser_A7,A7,0.0,0.0,10,30,0.5666666666666667
baseline,none,0.0,0.3,N/A,30,0.3
action_denoiser_A7,A7,0.0,0.3,5,30,0.7666666666666667
action_denoiser_A7,A7,0.0,0.3,10,30,0.7666666666666667
joint_denoiser_A7,A7,0.0,0.3,5,30,0.7333333333333333
joint_denoiser_A7,A7,0.0,0.3,10,30,0.4666666666666667
baseline,none,0.02,0.0,N/A,30,0.5
action_denoiser_A7,A7,0.02,0.0,5,30,0.3333333333333333
action_denoiser_A7,A7,0.02,0.0,10,30,0.4666666666666667
joint_denoiser_A7,A7,0.02,0.0,5,30,0.26666666666666666
joint_denoiser_A7,A7,0.02,0.0,10,30,0.23333333333333334
baseline,none,0.02,0.3,N/A,30,0.06666666666666667
action_denoiser_A7,A7,0.02,0.3,5,30,0.3
action_denoiser_A7,A7,0.02,0.3,10,30,0.5333333333333333
joint_denoiser_A7,A7,0.02,0.3,5,30,0.1
joint_denoiser_A7,A7,0.02,0.3,10,30,0.13333333333333333
baseline,none,0.05,0.0,N/A,30,0.03333333333333333
action_denoiser_A7,A7,0.05,0.0,5,30,0.03333333333333333
action_denoiser_A7,A7,0.05,0.0,10,30,0.13333333333333333
joint_denoiser_A7,A7,0.05,0.0,5,30,0.03333333333333333
joint_denoiser_A7,A7,0.05,0.0,10,30,0.03333333333333333
baseline,none,0.05,0.3,N/A,30,0.0
action_denoiser_A7,A7,0.05,0.3,5,30,0.1
action_denoiser_A7,A7,0.05,0.3,10,30,0.2
joint_denoiser_A7,A7,0.05,0.3,5,30,0.03333333333333333
joint_denoiser_A7,A7,0.05,0.3,10,30,0.0
