model_type,anchor_id,alpha_s,alpha_a,t_start,n_rollouts,success_rate
baseline,none,0.0,0.0,N/A,30,1.0
action_denoiser_A7,A7,0.0,0.0,5,30,1.0
joint_denoiser_A7,A7,0.0,0.0,5,30,0.9666666666666667
baseline,none,0.0,0.1,N/A,30,0.8333333333333334
action_denoiser_A7,A7,0.0,0.1,5,30,1.0
joint_denoiser_A7,A7,0.0,0.1,5,30,0.8333333333333334
baseline,none,0.0,0.2,N/A,30,0.3333333333333333
action_denoiser_A7,A7,0.0,0.2,5,30,1.0
joint_denoiser_A7,A7,0.0,0.2,5,30,0.4666666666666667
baseline,none,0.0,0.3,N/A,30,0.2
action_denoiser_A7,A7,0.0,0.3,5,30,0.9666666666666667
joint_denoiser_A7,A7,0.0,0.3,5,30,0.26666666666666666
baseline,none,0.02,0.0,N/A,30,0.26666666666666666
action_denoiser_A7,A7,0.02,0.0,5,30,0.6333333333333333
joint_denoiser_A7,A7,0.02,0.0,5,30,0.3333333333333333
baseline,none,0.02,0.1,N/A,30,0.4
action_denoiser_A7,A7,0.02,0.1,5,30,0.6333333333333333
joint_denoiser_A7,A7,0.02,0.1,5,30,0.3
baseline,none,0.02,0.2,N/A,30,0.13333333333333333
action_denoiser_A7,A7,0.02,0.2,5,30,0.7333333333333333
joint_denoiser_A7,A7,0.02,0.2,5,30,0.2
baseline,none,0.02,0.3,N/A,30,0.1
action_denoiser_A7,A7,0.02,0.3,5,30,0.8333333333333334
joint_denoiser_A7,A7,0.02,0.3,5,30,0.13333333333333333
baseline,none,0.04,0.0,N/A,30,0.0
action_denoiser_A7,A7,0.04,0.0,5,30,0.26666666666666666
joint_denoiser_A7,A7,0.04,0.0,5,30,0.0
baseline,none,0.04,0.1,N/A,30,0.0
action_denoiser_A7,A7,0.04,0.1,5,30,0.26666666666666666
joint_denoiser_A7,A7,0.04,0.1,5,30,0.0
baseline,none,0.04,0.2,N/A,30,0.03333333333333333
action_denoiser_A7,A7,0.04,0.2,5,30,0.16666666666666666
joint_denoiser_A7,A7,0.04,0.2,5,30,0.03333333333333333
baseline,none,0.04,0.3,N/A,30,0.03333333333333333
action_denoiser_A7,A7,0.04,0.3,5,30,0.4
joint_denoiser_A7,A7,0.04,0.3,5,30,0.06666666666666667
baseline,none,0.05,0.0,N/A,30,0.0
action_denoiser_A7,A7,0.05,0.0,5,30,0.1
joint_denoiser_A7,A7,0.05,0.0,5,30,0.0
baseline,none,0.05,0.1,N/A,30,0.0
action_denoiser_A7,A7,0.05,0.1,5,30,0.1
joint_denoiser_A7,A7,0.05,0.1,5,30,0.0
baseline,none,0.05,0.2,N/A,30,0.0
action_denoiser_A7,A7,0.05,0.2,5,30,0.06666666666666667
joint_denoiser_A7,A7,0.05,0.2,5,30,0.0
baseline,none,0.05,0.3,N/A,30,0.0
action_denoiser_A7,A7,0.05,0.3,5,30,0.13333333333333333
joint_denoiser_A7,A7,0.05,0.3,5,30,0.0
