model_type,anchor_id,alpha_s,alpha_a,t_start,n_rollouts,success_rate
baseline,none,0.0,0.0,N/A,30,0.6666666666666666
action_denoiser_A7,A7,0.0,0.0,5,30,0.5
joint_denoiser_A7,A7,0.0,0.0,5,30,0.5666666666666667
baseline,none,0.0,0.1,N/A,30,0.16666666666666666
action_denoiser_A7,A7,0.0,0.1,5,30,0.4
joint_denoiser_A7,A7,0.0,0.1,5,30,0.3
baseline,none,0.0,0.2,N/A,30,0.06666666666666667
action_denoiser_A7,A7,0.0,0.2,5,30,0.3333333333333333
joint_denoiser_A7,A7,0.0,0.2,5,30,0.26666666666666666
baseline,none,0.01,0.0,N/A,30,0.7
action_denoiser_A7,A7,0.01,0.0,5,30,0.4666666666666667
joint_denoiser_A7,A7,0.01,0.0,5,30,0.5
baseline,none,0.01,0.1,N/A,30,0.5
action_denoiser_A7,A7,0.01,0.1,5,30,0.5666666666666667
joint_denoiser_A7,A7,0.01,0.1,5,30,0.4
baseline,none,0.01,0.2,N/A,30,0.06666666666666667
action_denoiser_A7,A7,0.01,0.2,5,30,0.6
joint_denoiser_A7,A7,0.01,0.2,5,30,0.3333333333333333
baseline,none,0.02,0.0,N/A,30,0.36666666666666664
action_denoiser_A7,A7,0.02,0.0,5,30,0.5
joint_denoiser_A7,A7,0.02,0.0,5,30,0.3333333333333333
baseline,none,0.02,0.1,N/A,30,0.16666666666666666
action_denoiser_A7,A7,0.02,0.1,5,30,0.3333333333333333
joint_denoiser_A7,A7,0.02,0.1,5,30,0.23333333333333334
baseline,none,0.02,0.2,N/A,30,0.0
action_denoiser_A7,A7,0.02,0.2,5,30,0.26666666666666666
joint_denoiser_A7,A7,0.02,0.2,5,30,0.3
