model_type,anchor_id,alpha_s,alpha_a,t_start,n_rollouts,success_rate
baseline,none,0.0,0.0,N/A,30,0.9333333333333333
action_denoiser_A0_0,A0,0.0,0.0,5,30,1.0
action_denoiser_A0_1,A0,0.0,0.0,5,30,1.0
joint_denoiser_A0,A0,0.0,0.0,5,30,0.8
baseline,none,0.0,0.2,N/A,30,0.5
action_denoiser_A0_0,A0,0.0,0.2,5,30,0.9
action_denoiser_A0_1,A0,0.0,0.2,5,30,0.9333333333333333
joint_denoiser_A0,A0,0.0,0.2,5,30,0.3
baseline,none,0.0,0.3,N/A,30,0.06666666666666667
action_denoiser_A0_0,A0,0.0,0.3,5,30,0.8
action_denoiser_A0_1,A0,0.0,0.3,5,30,0.9333333333333333
joint_denoiser_A0,A0,0.0,0.3,5,30,0.06666666666666667
baseline,none,0.01,0.0,N/A,30,0.7666666666666667
action_denoiser_A0_0,A0,0.01,0.0,5,30,0.8
action_denoiser_A0_1,A0,0.01,0.0,5,30,0.9333333333333333
joint_denoiser_A0,A0,0.01,0.0,5,30,0.36666666666666664
baseline,none,0.01,0.2,N/A,30,0.3
action_denoiser_A0_0,A0,0.01,0.2,5,30,0.5
action_denoiser_A0_1,A0,0.01,0.2,5,30,0.6
joint_denoiser_A0,A0,0.01,0.2,5,30,0.06666666666666667
baseline,none,0.01,0.3,N/A,30,0.0
action_denoiser_A0_0,A0,0.01,0.3,5,30,0.23333333333333334
action_denoiser_A0_1,A0,0.01,0.3,5,30,0.6
joint_denoiser_A0,A0,0.01,0.3,5,30,0.0
baseline,none,0.02,0.0,N/A,30,0.3
action_denoiser_A0_0,A0,0.02,0.0,5,30,0.3333333333333333
action_denoiser_A0_1,A0,0.02,0.0,5,30,0.36666666666666664
joint_denoiser_A0,A0,0.02,0.0,5,30,0.03333333333333333
baseline,none,0.02,0.2,N/A,30,0.06666666666666667
action_denoiser_A0_0,A0,0.02,0.2,5,30,0.13333333333333333
action_denoiser_A0_1,A0,0.02,0.2,5,30,0.23333333333333334
joint_denoiser_A0,A0,0.02,0.2,5,30,0.0
baseline,none,0.02,0.3,N/A,30,0.0
action_denoiser_A0_0,A0,0.02,0.3,5,30,0.2
action_denoiser_A0_1,A0,0.02,0.3,5,30,0.23333333333333334
joint_denoiser_A0,A0,0.02,0.3,5,30,0.0
