model_type,anchor_id,alpha_s,alpha_a,t_start,n_rollouts,success_rate
baseline,none,0.0,0.0,N/A,30,0.8333333333333334
action_denoiser_A0_0,A0,0.0,0.0,5,30,0.43333333333333335
action_denoiser_A0_1,A0,0.0,0.0,5,30,0.6333333333333333
joint_denoiser_A0,A0,0.0,0.0,5,30,0.4666666666666667
baseline,none,0.0,0.1,N/A,30,0.4
action_denoiser_A0_0,A0,0.0,0.1,5,30,0.5
action_denoiser_A0_1,A0,0.0,0.1,5,30,0.36666666666666664
joint_denoiser_A0,A0,0.0,0.1,5,30,0.43333333333333335
baseline,none,0.0,0.2,N/A,30,0.13333333333333333
action_denoiser_A0_0,A0,0.0,0.2,5,30,0.3
action_denoiser_A0_1,A0,0.0,0.2,5,30,0.3
joint_denoiser_A0,A0,0.0,0.2,5,30,0.36666666666666664
baseline,none,0.01,0.0,N/A,30,0.4666666666666667
action_denoiser_A0_0,A0,0.01,0.0,5,30,0.4
action_denoiser_A0_1,A0,0.01,0.0,5,30,0.4
joint_denoiser_A0,A0,0.01,0.0,5,30,0.3
baseline,none,0.01,0.1,N/A,30,0.3333333333333333
action_denoiser_A0_0,A0,0.01,0.1,5,30,0.26666666666666666
action_denoiser_A0_1,A0,0.01,0.1,5,30,0.13333333333333333
joint_denoiser_A0,A0,0.01,0.1,5,30,0.3333333333333333
baseline,none,0.01,0.2,N/A,30,0.06666666666666667
action_denoiser_A0_0,A0,0.01,0.2,5,30,0.16666666666666666
action_denoiser_A0_1,A0,0.01,0.2,5,30,0.16666666666666666
joint_denoiser_A0,A0,0.01,0.2,5,30,0.3333333333333333
baseline,none,0.02,0.0,N/A,30,0.1
action_denoiser_A0_0,A0,0.02,0.0,5,30,0.1
action_denoiser_A0_1,A0,0.02,0.0,5,30,0.16666666666666666
joint_denoiser_A0,A0,0.02,0.0,5,30,0.0
baseline,none,0.02,0.1,N/A,30,0.13333333333333333
action_denoiser_A0_0,A0,0.02,0.1,5,30,0.13333333333333333
action_denoiser_A0_1,A0,0.02,0.1,5,30,0.1
joint_denoiser_A0,A0,0.02,0.1,5,30,0.03333333333333333
baseline,none,0.02,0.2,N/A,30,0.0
action_denoiser_A0_0,A0,0.02,0.2,5,30,0.13333333333333333
action_denoiser_A0_1,A0,0.02,0.2,5,30,0.1
joint_denoiser_A0,A0,0.02,0.2,5,30,0.06666666666666667
